# h/a,X_tt,Y_tt
0.64800000,9.52598694,4.76299347
0.64900000,9.49665367,4.74832684
0.65000000,9.46745644,4.73372822
0.65100000,9.43839127,4.71919564
0.65200000,9.40946206,4.70473103
0.65300000,9.38066484,4.69033242
0.65400000,9.35200035,4.67600018
0.65500000,9.32346703,4.66173351
0.65600000,9.29506178,4.64753089
0.65700000,9.26678839,4.63339419
0.65800000,9.23864377,4.61932189
0.65900000,9.21062715,4.60531358
0.66000000,9.18273553,4.59136777
0.66100000,9.15497260,4.57748630
0.66200000,9.12733535,4.56366768
0.66300000,9.09982304,4.54991152
0.66400000,9.07243491,4.53621745
0.66500000,9.04516878,4.52258439
0.66600000,9.01802678,4.50901339
0.66700000,8.99100674,4.49550337
0.66800000,8.96410864,4.48205432
0.66900000,8.93732893,4.46866446
0.67000000,8.91067042,4.45533521
0.67100000,8.88413098,4.44206549
0.67200000,8.85771059,4.42885530
0.67300000,8.83140718,4.41570359
0.67400000,8.80521937,4.40260968
0.67500000,8.77914920,4.38957460
0.67600000,8.75319529,4.37659765
0.67700000,8.72735561,4.36367780
0.67800000,8.70163082,4.35081541
0.67900000,8.67601759,4.33800879
0.68000000,8.65051858,4.32525929
0.68100000,8.62513244,4.31256622
0.68200000,8.59985787,4.29992894
0.68300000,8.57469227,4.28734613
0.68400000,8.54963887,4.27481944
0.68500000,8.52469509,4.26234755
0.68600000,8.49986029,4.24993015
0.68700000,8.47513320,4.23756660
0.68800000,8.45051321,4.22525661
0.68900000,8.42600157,4.21300079
0.69000000,8.40159640,4.20079820
0.69100000,8.37729708,4.18864854
0.69200000,8.35310301,4.17655150
0.69300000,8.32901235,4.16450618
0.69400000,8.30502696,4.15251348
0.69500000,8.28114500,4.14057250
0.69600000,8.25736588,4.12868294
0.69700000,8.23368842,4.11684421
0.69800000,8.21011323,4.10505662
0.69900000,8.18663912,4.09331956
0.70000000,8.16326553,4.08163276
0.70100000,8.13999245,4.06999622
0.70200000,8.11681699,4.05840850
0.70300000,8.09374151,4.04687075
0.70400000,8.07076483,4.03538242
0.70500000,8.04788527,4.02394264
0.70600000,8.02510341,4.01255170
