# h/a,X_tt,Y_tt
0.38100000,22.91857212,7.35545449
0.38200000,22.80793851,7.32234360
0.38300000,22.69812594,7.28948563
0.38400000,22.58913954,7.25687733
0.38500000,22.48092414,7.22450357
0.38600000,22.37357366,7.19239467
0.38700000,22.26701724,7.16052581
0.38800000,22.16125327,7.12889976
0.38900000,22.05629072,7.09751471
0.39000000,21.95209568,7.06636534
0.39100000,21.84867723,7.03545257
0.39200000,21.74595262,7.00475052
0.39300000,21.64404963,6.97429732
0.39400000,21.54289558,6.94407138
0.39500000,21.44248488,6.91407356
0.39600000,21.34279994,6.88429470
0.39700000,21.24384941,6.85473909
0.39800000,21.14562181,6.82540387
0.39900000,21.04805147,6.79626838
0.40000000,20.95123679,6.76736168
0.40100000,20.85512350,6.73866876
0.40200000,20.75970456,6.71018570
0.40300000,20.66496549,6.68191029
0.40400000,20.57091076,6.65384185
0.40500000,20.47749852,6.62596893
0.40600000,20.38476485,6.59830105
0.40700000,20.29272814,6.57084507
0.40800000,20.20132714,6.54358432
0.40900000,20.11058783,6.51652050
0.41000000,20.02048061,6.48965153
0.41100000,19.93096455,6.46295923
0.41200000,19.84213138,6.43647542
0.41300000,19.75392045,6.41017965
0.41400000,19.66631891,6.38407138
0.41500000,19.57934116,6.35815080
0.41600000,19.49298096,6.33241521
0.41700000,19.40720899,6.30685919
0.41800000,19.32198862,6.28147260
0.41900000,19.23742084,6.25628063
0.42000000,19.15341622,6.23125992
0.42100000,19.07000480,6.20642097
0.42200000,18.98716800,6.18175511
0.42300000,18.90490187,6.15725990
0.42400000,18.82319781,6.13293560
0.42500000,18.74201349,6.10877194
0.42600000,18.66142557,6.08478624
0.42700000,18.58138681,6.06096817
0.42800000,18.50190397,6.03731728
0.42900000,18.42294480,6.01382422
0.43000000,18.34452969,5.99049692
0.43100000,18.26663869,5.96732863
0.43200000,18.18924663,5.94430970
0.43300000,18.11240680,5.92146091
0.43400000,18.03607640,5.89876389
0.43500000,17.96027623,5.87622686
0.43600000,17.88497014,5.85383973
0.43700000,17.81017319,5.83160761
0.43800000,17.73582531,5.80951114
0.43900000,17.66201616,5.78757677
0.44000000,17.58870747,5.76579400
0.44100000,17.51587016,5.74415430
0.44200000,17.44352545,5.72266206
0.44300000,17.37165670,5.70131463
0.44400000,17.30022141,5.68009927
0.44500000,17.22929566,5.65903671
0.44600000,17.15883278,5.63811471
0.44700000,17.08882728,5.61733133
0.44800000,17.01926864,5.59668137
0.44900000,16.95018445,5.57617504
0.45000000,16.88153876,5.55580163
0.45100000,16.81331534,5.53555611
0.45200000,16.74555250,5.51544852
0.45300000,16.67824091,5.49547801
0.45400000,16.61135203,5.47563685
0.45500000,16.54489902,5.45592382
0.45600000,16.47886831,5.43634133
0.45700000,16.41326562,5.41688447
0.45800000,16.34805181,5.39754952
0.45900000,16.28329367,5.37834906
0.46000000,16.21893571,5.35927161
0.46100000,16.15499285,5.34031800
0.46200000,16.09144765,5.32148407
0.46300000,16.02831471,5.30277362
0.46400000,15.96557454,5.28418400
0.46500000,15.90320153,5.26570478
0.46600000,15.84125669,5.24735436
0.46700000,15.77968983,5.22911844
0.46800000,15.71851293,5.21099929
0.46900000,15.65772678,5.19299817
0.47000000,15.59731927,5.17511018
0.47100000,15.53725741,5.15732773
0.47200000,15.47759958,5.13966706
0.47300000,15.41830318,5.12211588
0.47400000,15.35939520,5.10468096
0.47500000,15.30083392,5.08735025
0.47600000,15.24263796,5.07012959
0.47700000,15.18477373,5.05301078
0.47800000,15.12728892,5.03600451
0.47900000,15.07016594,5.01910879
0.48000000,15.01338371,5.00231420
0.48100000,14.95696003,4.98562727
0.48200000,14.90086921,4.96904349
0.48300000,14.84512208,4.95256020
0.48400000,14.78969740,4.93617607
0.48500000,14.73462692,4.91989659
0.48600000,14.67989599,4.90372117
0.48700000,14.62548659,4.88764296
0.48800000,14.57140634,4.87166318
0.48900000,14.51766444,4.85578506
0.49000000,14.46423028,4.83999983
0.49100000,14.41110598,4.82430831
0.49200000,14.35831529,4.80871659
0.49300000,14.30584079,4.79322129
